Ceremony,Year,Class,CanonicalCategory,Category,NomId,Film,FilmId,Name,Nominees,NomineeIds,Winner,join_key,tmdb_id
11,1938,Acting,"ACTRESS IN A SUPPORTING ROLE","ACTRESS IN A SUPPORTING ROLE",an0049864,"You Can't Take It with You",tt0030993,"Spring Byington","Spring Byington",nm0001981,,youcanttakeitwithyou,34106
11,1938,Production,"ART DIRECTION","ART DIRECTION",an0049895,"Alexander's Ragtime Band",tt0029852,"Bernard Herzbrun, Boris Leven","Bernard Herzbrun, Boris Leven","nm0381257,nm0505227",,alexandersragtimeband,43839
11,1938,Production,"ART DIRECTION","ART DIRECTION",an0049902,"Marie Antoinette",tt0030418,"Cedric Gibbons","Cedric Gibbons",nm0316539,,marieantoinette,1887
11,1938,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,an0049891,"You Can't Take It with You",tt0030993,"Joseph Walker","Joseph Walker",nm0907900,,youcanttakeitwithyou,34106
11,1938,Directing,DIRECTING,DIRECTING,an0049866,"You Can't Take It with You",tt0030993,"Frank Capra","Frank Capra",nm0001008,TRUE,youcanttakeitwithyou,34106
11,1938,Production,"FILM EDITING","FILM EDITING",an0049915,"Alexander's Ragtime Band",tt0029852,"Barbara McLean","Barbara McLean",nm0572492,,alexandersragtimeband,43839
11,1938,Production,"FILM EDITING","FILM EDITING",an0049918,"You Can't Take It with You",tt0030993,"Gene Havlick","Gene Havlick",nm0369879,,youcanttakeitwithyou,34106
11,1938,Music,"MUSIC (Original Score)","MUSIC (Original Score)",an0049947,"Marie Antoinette",tt0030418,"Herbert Stothart","Herbert Stothart",nm0006307,,marieantoinette,1887
11,1938,Music,"MUSIC (Original Song Score or Adaptation Score)","MUSIC (Scoring)",an0049929,"Alexander's Ragtime Band",tt0029852,"Alfred Newman","Alfred Newman",nm0000055,TRUE,alexandersragtimeband,43839
11,1938,Music,"MUSIC (Original Song)","MUSIC (Song)",an0049928,"Alexander's Ragtime Band",tt0029852,"Music and Lyrics by Irving Berlin","Irving Berlin",nm0000927,,alexandersragtimeband,43839
11,1938,Title,"BEST PICTURE","OUTSTANDING PRODUCTION",an0049838,"Alexander's Ragtime Band",tt0029852,"20th Century-Fox","20th Century-Fox",co0028775,,alexandersragtimeband,43839
11,1938,Title,"BEST PICTURE","OUTSTANDING PRODUCTION",an0049836,"You Can't Take It with You",tt0030993,Columbia,Columbia,co0050868,TRUE,youcanttakeitwithyou,34106
11,1938,Production,"SOUND RECORDING","SOUND RECORDING",an0049913,"You Can't Take It with You",tt0030993,"Columbia Studio Sound Department, John Livadary, Sound Director","Columbia, John Livadary","co0050868,nm0515093",,youcanttakeitwithyou,34106
11,1938,Writing,"WRITING (Original Story)","WRITING (Original Story)",an0049872,"Alexander's Ragtime Band",tt0029852,"Irving Berlin","Irving Berlin",nm0000927,,alexandersragtimeband,43839
11,1938,Writing,"WRITING (Adapted Screenplay)","WRITING (Screenplay)",an0049881,"You Can't Take It with You",tt0030993,"Robert Riskin","Robert Riskin",nm0728307,,youcanttakeitwithyou,34106
11,1938,Special,"SPECIAL AWARD","SPECIAL AWARD",an0053623,"Snow White and the Seven Dwarfs",tt0029583,,"Walt Disney",nm0000370,TRUE,snowwhiteandthesevendwarfs,408
12,1939,Acting,"ACTOR IN A LEADING ROLE",ACTOR,an0047443,"Gone with the Wind",tt0031381,"Clark Gable","Clark Gable",nm0000022,,gonewiththewind,770
12,1939,Acting,"ACTOR IN A LEADING ROLE",ACTOR,an0047444,"Wuthering Heights",tt0032145,"Laurence Olivier","Laurence Olivier",nm0000059,,wutheringheights,36597
12,1939,Acting,"ACTOR IN A LEADING ROLE",ACTOR,an0047446,"Mr. Smith Goes to Washington",tt0031679,"James Stewart","James Stewart",nm0000071,,mrsmithgoestowashington,3083
12,1939,Acting,"ACTOR IN A SUPPORTING ROLE","ACTOR IN A SUPPORTING ROLE",an0047454,"Mr. Smith Goes to Washington",tt0031679,"Harry Carey","Harry Carey",nm0002503,,mrsmithgoestowashington,3083
12,1939,Acting,"ACTOR IN A SUPPORTING ROLE","ACTOR IN A SUPPORTING ROLE",an0047456,"Mr. Smith Goes to Washington",tt0031679,"Claude Rains","Claude Rains",nm0001647,,mrsmithgoestowashington,3083
12,1939,Acting,"ACTRESS IN A LEADING ROLE",ACTRESS,an0047447,"Gone with the Wind",tt0031381,"Vivien Leigh","Vivien Leigh",nm0000046,TRUE,gonewiththewind,770
12,1939,Acting,"ACTRESS IN A SUPPORTING ROLE","ACTRESS IN A SUPPORTING ROLE",an0047458,"Gone with the Wind",tt0031381,"Olivia de Havilland","Olivia de Havilland",nm0000014,,gonewiththewind,770
12,1939,Acting,"ACTRESS IN A SUPPORTING ROLE","ACTRESS IN A SUPPORTING ROLE",an0047459,"Wuthering Heights",tt0032145,"Geraldine Fitzgerald","Geraldine Fitzgerald",nm0280242,,wutheringheights,36597
12,1939,Acting,"ACTRESS IN A SUPPORTING ROLE","ACTRESS IN A SUPPORTING ROLE",an0047457,"Gone with the Wind",tt0031381,"Hattie McDaniel","Hattie McDaniel",nm0567408,TRUE,gonewiththewind,770
12,1939,Production,"ART DIRECTION","ART DIRECTION",an0047493,"Gone with the Wind",tt0031381,"Lyle Wheeler","Lyle Wheeler",nm0923907,TRUE,gonewiththewind,770
12,1939,Production,"ART DIRECTION","ART DIRECTION",an0047499,"Mr. Smith Goes to Washington",tt0031679,"Lionel Banks","Lionel Banks",nm0052206,,mrsmithgoestowashington,3083
12,1939,Production,"ART DIRECTION","ART DIRECTION",an0047503,"The Wizard of Oz",tt0032138,"Cedric Gibbons, William A. Horning","Cedric Gibbons, William A. Horning","nm0316539,nm0395178",,thewizardofoz,630
12,1939,Production,"ART DIRECTION","ART DIRECTION",an0047504,"Wuthering Heights",tt0032145,"James Basevi","James Basevi",nm0059730,,wutheringheights,36597
12,1939,Production,"CINEMATOGRAPHY (Black-and-White)","CINEMATOGRAPHY (Black-and-White)",an0047477,"Wuthering Heights",tt0032145,"Gregg Toland","Gregg Toland",nm0005904,TRUE,wutheringheights,36597
12,1939,Production,"CINEMATOGRAPHY (Color)","CINEMATOGRAPHY (Color)",an0047487,"Gone with the Wind",tt0031381,"Ernest Haller, Ray Rennahan","Ernest Haller, Ray Rennahan","nm0005735,nm0005840",TRUE,gonewiththewind,770
12,1939,Production,"CINEMATOGRAPHY (Color)","CINEMATOGRAPHY (Color)",anxxx014,"The Wizard of Oz",tt0032138,"Hal Rosson","Hal Rosson",nm0005849,,thewizardofoz,630
12,1939,Directing,DIRECTING,DIRECTING,an0047462,"Gone with the Wind",tt0031381,"Victor Fleming","Victor Fleming",nm0281808,TRUE,gonewiththewind,770
12,1939,Directing,DIRECTING,DIRECTING,an0047463,"Mr. Smith Goes to Washington",tt0031679,"Frank Capra","Frank Capra",nm0001008,,mrsmithgoestowashington,3083
12,1939,Directing,DIRECTING,DIRECTING,an0047466,"Wuthering Heights",tt0032145,"William Wyler","William Wyler",nm0943758,,wutheringheights,36597
12,1939,Production,"FILM EDITING","FILM EDITING",an0047516,"Gone with the Wind",tt0031381,"Hal C. Kern, James E. Newcom","Hal C. Kern, James E. Newcom","nm0449456,nm0627727",TRUE,gonewiththewind,770
12,1939,Production,"FILM EDITING","FILM EDITING",an0047518,"Mr. Smith Goes to Washington",tt0031679,"Gene Havlick, Al Clark","Gene Havlick, Al Clark","nm0369879,nm0163617",,mrsmithgoestowashington,3083
12,1939,Music,"MUSIC (Original Score)","MUSIC (Original Score)",an0047549,"Gone with the Wind",tt0031381,"Max Steiner","Max Steiner",nm0000070,,gonewiththewind,770
12,1939,Music,"MUSIC (Original Score)","MUSIC (Original Score)",an0047550,"Gulliver's Travels",tt0031397,"Victor Young","Victor Young",nm0000082,,gulliverstravels,38745
12,1939,Music,"MUSIC (Original Score)","MUSIC (Original Score)",an0047551,"The Man in the Iron Mask",tt0031619,"Lud Gluskin, Lucien Moraweck","Lud Gluskin, Lucien Moraweck","nm0323302,nm0603188",,themanintheironmask,9313
12,1939,Music,"MUSIC (Original Score)","MUSIC (Original Score)",an0047545,"The Wizard of Oz",tt0032138,"Herbert Stothart","Herbert Stothart",nm0006307,TRUE,thewizardofoz,630
12,1939,Music,"MUSIC (Original Score)","MUSIC (Original Score)",an0047556,"Wuthering Heights",tt0032145,"Alfred Newman","Alfred Newman",nm0000055,,wutheringheights,36597
12,1939,Music,"MUSIC (Original Song Score or Adaptation Score)","MUSIC (Scoring)",an0047536,"The Hunchback of Notre Dame",tt0031455,"Alfred Newman","Alfred Newman",nm0000055,,thehunchbackofnotredame,10545
12,1939,Music,"MUSIC (Original Song Score or Adaptation Score)","MUSIC (Scoring)",an0047538,"Mr. Smith Goes to Washington",tt0031679,"Dimitri Tiomkin","Dimitri Tiomkin",nm0006323,,mrsmithgoestowashington,3083
12,1939,Music,"MUSIC (Original Song)","MUSIC (Song)",an0047529,"Gulliver's Travels",tt0031397,"Music by Ralph Rainger; Lyrics by Leo Robin","Ralph Rainger, Leo Robin","nm0006247,nm0732209",,gulliverstravels,38745
12,1939,Music,"MUSIC (Original Song)","MUSIC (Song)",an0047528,"The Wizard of Oz",tt0032138,"Music by Harold Arlen; Lyrics by E. Y. Harburg","Harold Arlen, E. Y. Harburg","nm0002182,nm0361971",TRUE,thewizardofoz,630
12,1939,Title,"BEST PICTURE","OUTSTANDING PRODUCTION",an0779672,"Gone with the Wind",tt0031381,"Selznick International Pictures","Selznick International Pictures",co0130901,TRUE,gonewiththewind,770
12,1939,Title,"BEST PICTURE","OUTSTANDING PRODUCTION",an0047436,"Mr. Smith Goes to Washington",tt0031679,Columbia,Columbia,co0050868,,mrsmithgoestowashington,3083
12,1939,Title,"BEST PICTURE","OUTSTANDING PRODUCTION",an0047440,"The Wizard of Oz",tt0032138,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,co0007143,,thewizardofoz,630
12,1939,Title,"BEST PICTURE","OUTSTANDING PRODUCTION",an0047441,"Wuthering Heights",tt0032145,"Samuel Goldwyn Productions","Samuel Goldwyn Productions",co0058013,,wutheringheights,36597
12,1939,Production,"SOUND RECORDING","SOUND RECORDING",an0047507,"Gone with the Wind",tt0031381,"Samuel Goldwyn Studio Sound Department, Thomas T. Moulton, Sound Director","Samuel Goldwyn, Thomas T. Moulton","co0058013,nm0609771",,gonewiththewind,770
12,1939,Production,"SOUND RECORDING","SOUND RECORDING",an0047510,"The Hunchback of Notre Dame",tt0031455,"RKO Radio Studio Sound Department, John Aalberg, Sound Director","RKO Radio, John Aalberg","co0041421,nm0007356",,thehunchbackofnotredame,10545
12,1939,Production,"SOUND RECORDING","SOUND RECORDING",an0047512,"Mr. Smith Goes to Washington",tt0031679,"Columbia Studio Sound Department, John Livadary, Sound Director","Columbia, John Livadary","co0050868,nm0515093",,mrsmithgoestowashington,3083
